Name,Nationality,Overall,Position,Club
Kim Jae Min,South Korea,49,CM,Jeju United FC
Liu Chengyu,China,54,ST,Shanghai Shenhua
Fang Haiyang,China,47,CM,Qingdao West Coast FC
T. Courtois,Belgium,89,GK,Real Madrid
R. Braschi,Italy,56,ST,Fiorentina
T. Das,India,48,CM,East Bengal FC
G. Elliott,Malta,52,ST,Chesterfield
Wei Suowei,China,52,RB,Qingdao Hainiu FC
A. James,England,54,CB,Wrexham
S. Dancey,England,53,RB,Crewe Alexandra
Chen Zhexuan,China,47,CM,Tianjin Jinmen Tiger
M. de Ligt,Netherlands,57,CB,Sparta Rotterdam
T. Buchmann,Germany,60,CB,1. FC Nürnberg
B. Heneghan,England,63,CB,Port Vale
Zhao Jianfei,China,57,CB,Shandong Taishan
S. Sjöholm,Sweden,53,RW,GAIS
Guo Quanbo,China,64,GK,Meizhou Hakka
B. Schlicke,Germany,59,CB,MSV Duisburg
A. Herrera,Venezuela,55,RB,Caracas FC
Hong Ji Woo,South Korea,47,CM,Pohang Steelers
Y. Hör,Germany,58,RB,TSG 1899 Hoffenheim II
F. Mino,Argentina,61,CB,Deportivo Riestra
B. Cortés,Chile,72,GK,Peñarol
N. Byrne,Republic of Ireland,61,CB,Bradford City
F. Boulet,France,56,ST,US Boulogne Cote d'Opale
V. Hladký,Czech Republic,69,GK,Burnley
C. Lyons,Republic of Ireland,56,CB,Cork City
J. Miller,United States,59,CB,Sporting Kansas City
G. Alesi,Italy,56,RW,Catanzaro
T. Gabellini,Italy,56,ST,Torino
L. Zeller,Germany,64,CB,1. FC Schweinfurt 05
Abhijith PA,India,52,CAM,Hyderabad FC
Renan Santana,Brazil,63,CB,Famalicão
K. Musanhi,Zimbabwe,53,LB,Colchester United
R. Geller,Serbia,54,LM,Karlsruher SC
M. Mbeng,France,58,CB,Shelbourne FC
O. Kabwit,DR Congo,52,RW,FC Luzern
K. Hughes,England,57,CB,Fleetwood Town
S. Baseya,France,63,CB,Alverca
B. Yameogo,Ivory Coast,60,CB,Club Brugge KV
A. Tabuncic,Moldova,53,RB,Dinamo Bucureşti
Shemshidin Yusupjan,China,48,RM,Shandong Taishan
Han Hyeon Seo,South Korea,60,CB,Pohang Steelers
N. Haikin,Russia,74,GK,FK Bodø/Glimt
H. Volden,Norway,59,CB,Rosenborg BK
Yang Mingrui,China,52,LM,Dalian Yingbo
M. Boamah,Finland,58,CB,HJK Helsinki
Alejandro Vergaz,Spain,58,CB,Al Qadsiah FC
L. Augustine,India,53,RM,Punjab FC
M. Rodin,Croatia,65,CB,Lechia Gdańsk
Choi Byung Wook,South Korea,56,RW,Jeju United FC
D. Skura,England,58,CB,Wycombe Wanderers
R. Creț,Romania,53,LB,FC Botoşani
S. Pettersen,Norway,54,ST,Sandefjord Fotball
A. Brignoli,Italy,73,GK,AEK Athens
M. Larsen,Norway,57,CB,Hamarkameratene
F. Mabete,DR Congo,57,CB,Swindon Town
M. Djordjević,Serbia,57,CB,Austin FC
A. Borén,Sweden,55,RW,IFK Göteborg
M. Forbes,Northern Ireland,57,CB,Northampton Town
F. Yeats,Scotland,57,RB,Falkirk
D. Lawlor,Wales,59,CB,Cardiff City
M. Günok,Turkey,78,GK,Beşiktaş JK
R. Woodcock,England,52,LB,Barnsley
Jung Jae Sang,South Korea,57,ST,Daegu FC
Lee Sang Min,South Korea,60,CB,FC Seoul
S. Diawara,France,59,CB,ESTAC Troyes
Z. Al Ghamdi,Saudi Arabia,47,CM,Al Ettifaq
H. Dramé,France,60,CB,Estrela da Amadora
G. Bortagaray,Uruguay,66,CB,Boston River
E. Bartlow,United States,64,CB,Houston Dynamo
I. Boatwright,Dominican Republic,57,RB,Inter Miami
Li Ruiyue,China,49,CB,Beijing Guoan
R. Ramos Jr,United States,53,CAM,LA Galaxy
Li Xingxian,China,50,LM,Henan FC
A. Lopes,Portugal,76,GK,FC Nantes
D. Bisschops,Netherlands,58,CB,Fortuna Sittard
L. Turner,Republic of Ireland,59,CB,St Patrick's Athletic FC
A. Moris,Luxembourg,75,GK,Al Khaleej
T. Anderson,England,62,CB,Shrewsbury Town
D. Sasnauskas,Lithuania,56,CB,Sheffield United
A. Makki,Saudi Arabia,57,RB,Al Shabab
R. Delaney,Republic of Ireland,61,CB,Swindon Town
M. Commaret,France,57,CB,Stade Lavallois Mayenne FC
D. Tharme,England,62,CB,Grimsby Town
M. Al Rajih,Saudi Arabia,58,CB,Al Shabab
K. Leslie,Scotland,53,RM,Kilmarnock
R. Tongyik,Australia,60,CB,Western Sydney Wanderers
H. Hilvenius,Sweden,58,CB,BK Häcken
S. Chingambam Singh,India,50,CM,Bengaluru FC
B. Leno,Germany,80,GK,Fulham FC
M. Aguiar,Argentina,50,CAM,Defensa y Justicia
G. David,Nigeria,55,ST,Royal Antwerp FC
J. Bogarin,Paraguay,53,LM,Libertad
C. Evans,Wales,59,CB,Newport County
J. Bidois,New Zealand,53,ST,Auckland FC
L. Moretti,Italy,60,CB,Virtus Entella
T. Williams,Australia,54,CB,Sydney FC
C. Waller,England,56,CB,Milton Keynes Dons
F. Anderson,England,57,CB,Cork City
S. Kalaj,Albania,61,CB,Frosinone
L. Bimai,France,59,CB,GD Estoril Praia
L. Bawitlung,India,48,CM,Mumbai City FC
Kim Tae Hwan,South Korea,48,CM,Gangwon FC
A. Guessand,France,60,CB,Kristiansund BK
R. Fabinski,Germany,60,CB,VfL Osnabrück
S. Moya,Argentina,61,CB,CA Aldosivi
N. Al Hulayel,Saudi Arabia,54,LB,Al-Najma SC
Zhang Jiajie,China,49,CM,Meizhou Hakka
J. Singh,India,54,CDM,Chennaiyin FC
A. Madu,Saudi Arabia,65,CB,Al Ettifaq
A. Nadé,Ivory Coast,54,ST,ESTAC Troyes
H. Cann,England,58,CB,Derry City
J. Campbell-Slowey,England,54,CB,Bristol City
G. Vicario,Italy,82,GK,Tottenham Hotspur
Y. Al Zubaidi,Saudi Arabia,56,LM,Al Ahli SFC
Niu Ziyi,China,53,CB,Henan FC
M. Cardo,United States,54,ST,Drogheda United
J. Butland,England,75,GK,Rangers FC
Kim Tae Han,South Korea,64,CB,Suwon FC
L. Erlein,Germany,59,CB,TSG 1899 Hoffenheim II
M. Kipgen,India,52,CM,Punjab FC
O. Stirton,Scotland,54,ST,Dundee United FC
E. Amundsen-Day,Norway,58,CB,Hamarkameratene
A. Masoud,Saudi Arabia,51,CB,Al Kholood
D. Sandu,Romania,52,CAM,Oțelul Galați
L. Bombino,United States,54,LB,San Diego FC
M. Donavin,France,57,CB,Clermont Foot 63
A. Cissé,Guinea,62,CB,Le Mans FC
J. Askou,Denmark,56,CB,Odense Boldklub
K. Drummond,England,55,ST,Oldham Athletic
I. Alastra,Argentina,51,ST,Talleres
M. Koskela,Finland,60,CB,FK Haugesund
O. Mengshoel,Norway,55,ST,Hamarkameratene
D. Ihendu,Germany,61,CB,FC Zürich
F. Varesi-Strauss,Austria,63,CB,Blau-Weiß Linz
Kim Hyeon Oh,South Korea,54,RM,Daejeon Citizen
A. Akhtar,India,54,CB,NorthEast United
J. Godoy,Argentina,59,LB,Club Atlético Sarmiento
F. Closter,Argentina,57,CB,Independiente
Yuan Mincheng,China,61,CB,Chengdu Rongcheng
Matheus Gonçalves,Brazil,56,RW,Al Ahli SFC
J. Bolger,Republic of Ireland,58,CB,Drogheda United
M. Rakip,India,54,RB,East Bengal FC
He Linhan,China,47,CM,Shanghai Shenhua
S. Tombakti,Saudi Arabia,53,CB,Al Riyadh
E. Tovo,Argentina,63,CB,Deportivo Riestra
G. Herrera,Argentina,76,GK,Talleres
Park Jang Han Gyeol,South Korea,51,CAM,FC Seoul
M. Głowiński,Poland,54,ST,Korona Kielce
L. Dellavalle,Italy,59,CB,Los Angeles FC
S. Besra,India,49,CM,East Bengal FC
K. Brouder,Republic of Ireland,62,CB,Galway United
V. Milinković-Savić,Serbia,79,GK,Napoli
Z. Keita,Germany,59,CB,RSC Anderlecht
J. Gupta,India,55,LB,East Bengal FC
M. Al Abdulmunem,Saudi Arabia,54,ST,Al Fayha
L. Venturino,Italy,56,RM,Genoa
J. Trafford,England,76,GK,Manchester City
M. Qasheesh,Saudi Arabia,56,LB,Al Fateh
F. Muslera,Uruguay,79,GK,Estudiantes de La Plata
D. Esapa Osong,England,56,ST,Motherwell FC
A. Al Harbi,Saudi Arabia,53,RB,Al Hazem FC
B. Faulkner,England,57,CB,Harrogate Town
D. Laishram,India,51,LM,NorthEast United
Yoo Ji Un,South Korea,50,RB,Daegu FC
D. Biswas,India,55,CB,Mohun Bagan Super Giant
R. King,Jamaica,58,CB,St. Mirren
A. Abdul-Rahman,Australia,52,ST,Western Sydney Wanderers
A. Cerda,Chile,56,ST,Universidad Católica
O. Al Bawardi,Saudi Arabia,54,RB,Al Riyadh
B. Kieffer,Germany,59,CB,SSV Jahn Regensburg
S. Stalin,India,53,LB,Mumbai City FC
P. Scholl,Germany,59,CB,Karlsruher SC
A. Troche,Paraguay,56,RB,Libertad
Ș. Chirilă,Romania,54,ST,FC Cincinnati
F. Chawngthansanga,India,48,CAM,NorthEast United
J. Gillekens,Belgium,63,CB,SV Wehen Wiesbaden
G. Popovic,Australia,52,ST,Perth Glory
M. Ferkranus,Australia,57,CB,Brisbane Roar
A. Marchesín,Argentina,77,GK,Boca Juniors
A. Çınar,Turkey,58,CB,Fatih Karagümrük
M. Mohammad,India,52,LB,Hyderabad FC
Jang Nam Ung,South Korea,49,CM,Jeonbuk Hyundai Motors
C. Valencia,Colombia,59,CB,San Antonio Bulo Bulo
J. Drommel,Netherlands,72,GK,Sparta Rotterdam
Zheng Haoqian,China,56,ST,Wuhan Three Towns
S. Lucero,Argentina,56,CB,Defensa y Justicia
A. Arous,Tunisia,59,CB,Kasımpaşa SK
H. Palande,India,53,ST,Bengaluru FC
Marcos Zambrano,United States,54,ST,Real Salt Lake
Eom Seung Min,South Korea,52,RW,Jeonbuk Hyundai Motors
A. Sønderskov,Denmark,58,CB,Vejle Boldklub
R. Fransen,Australia,55,CB,Western Sydney Wanderers
F. Oliveros,Venezuela,58,CB,Carabobo FC
Kang Hyun Je,South Korea,53,CAM,Pohang Steelers
Zou Zhenxiang,China,49,CM,Wuhan Three Towns
C. Gardner,England,53,ST,Stockport County
N. Awortwie-Grant,Germany,59,CB,FC Energie Cottbus
Diego Tavares,Portugal,57,CB,CD Tondela
C. Lalhriatpuia,India,47,CM,Jamshedpur FC
A. Ceza,Chile,65,CB,CD Palestino
N. König,Germany,61,CB,SpVgg Greuther Fürth
P. Shrivas,India,53,CB,Hyderabad FC
L. Morales,Argentina,70,GK,Lanús
D. Radonjic,Austria,60,CB,FK Austria Wien
I. Gosik,Norway,55,ST,Molde FK
T. Aydın,Turkey,57,CB,Kasımpaşa SK
Álex Remiro,Spain,83,GK,Real Sociedad
Xu Hong,China,48,CM,Chengdu Rongcheng
B. Araneda,Chile,54,LM,CD Palestino
Unai Simón,Spain,85,GK,Athletic Club
S. Nambrath,India,48,CAM,NorthEast United
R. Sailor,United States,63,CB,Inter Miami
A. Boyle,Republic of Ireland,58,CB,Waterford FC
S. Jimenez,United States,49,CDM,FC Cincinnati
Kim Min Jun,South Korea,52,RW,Daegu FC
Cho Jin Hyuk,South Korea,52,RW,Gangwon FC
Min Zixi,China,47,CM,Wuhan Three Towns
L. Kavanagh,Republic of Ireland,58,CB,Bohemian FC
J. Chavero,Argentina,55,ST,Lanús
I. Marecos,Paraguay,56,ST,Cerro Porteño
C. Lippmann,Austria,53,RB,TSV 1860 München
L. Schimkus,Germany,55,RM,FC Erzgebirge Aue
G. Guerra,United States,54,ST,Portland Timbers
K. Lebersorger,Austria,54,RB,LASK Linz
I. Iovu,Moldova,59,CB,Dundee United FC
A. Atlee Manneh,Sweden,56,CB,Djurgårdens IF
L. Trslic,Germany,61,CB,1. FC Schweinfurt 05
I. Pérez,Chile,59,CB,Universidad Católica
Q. Benaets,Belgium,52,RW,Royal Charleroi Sporting Club
O. Cotton,Sweden,58,CB,IF Brommapojkarna
M. Skelin,Croatia,60,CB,Hajduk Split
Kwon Sun Ho,South Korea,52,ST,Jeju United FC
Andrés Fernández,Spain,74,GK,UD Almería
N. Rodrigues,India,53,LB,Mumbai City FC
C. Antley,United States,56,LB,DC United
A. Cacciamani,Italy,56,RM,SS Juve Stabia
D. Keramitsis,Greece,62,CB,Pogoń Szczecin
A. Bottaro,Italy,57,CB,Virtus Entella
B. Peacock-Farrell,Northern Ireland,68,GK,Blackpool FC
Chen Zeshi,China,47,CM,Shandong Taishan
Lee Jun Ho,South Korea,57,ST,Jeonbuk Hyundai Motors
Luan Hao,China,47,CM,Qingdao West Coast FC
O. Denham,Wales,59,CB,Sligo Rovers
M. Muhaysh,Saudi Arabia,52,RB,Al Hilal
L. Bernabéu,Argentina,57,CB,Belgrano de Córdoba
S. Culbert,Scotland,52,ST,Livingston FC
I. Planeix,France,56,CB,En Avant Guingamp
Kang Ju Hyeok,South Korea,53,RM,FC Seoul
K. Hughes,United States,60,CB,New England Revolution
S. Osmanoğlu,Turkey,62,CB,Gençlerbirliği SK
M. Dmitrović,Serbia,79,GK,RCD Espanyol
L. Mesanvi,Togo,52,LW,Minnesota United FC
R. Sarki,Nigeria,55,RM,Al Ain
T. Wilson-Brown,England,58,CB,Swindon Town
D. Bengtsson,Sweden,56,ST,GAIS
Sourav K,India,53,RW,Hyderabad FC
N. Naik,India,48,CM,Odisha FC
Z. Ztouti,France,56,ST,AS Nancy Lorraine
C. Toselli,Chile,70,GK,Universidad de Chile
Jesin TK,India,50,ST,East Bengal FC
A. Queally,Republic of Ireland,52,CB,Waterford FC
Sivera,Spain,76,GK,Deportivo Alavés
R. Le Guen,France,62,CB,Stade Brestois 29
J. Cameron,Australia,53,RB,Western Sydney Wanderers
Wu Zhicheng,China,47,CM,Changchun Yatai
L. Dziki,Congo,56,RB,USL Dunkerque
Liu Dianzuo,China,70,GK,Chengdu Rongcheng
K. Malcolm,England,53,RM,Salford City
José Sá,Portugal,77,GK,Wolverhampton Wanderers
A. Matei,Romania,51,CAM,UTA Arad
E. Klein,United States,53,CB,New England Revolution
F. Armani,Argentina,78,GK,River Plate
J. Omlin,Switzerland,76,GK,Borussia Mönchengladbach
D. Tritschler,Germany,58,ST,VfB Stuttgart II
D. Henderson,England,81,GK,Crystal Palace
S. Grehan,Republic of Ireland,57,CB,Doncaster Rovers
Cho Sang Hyeok,South Korea,58,ST,Pohang Steelers
S. Mignolet,Belgium,74,GK,Club Brugge KV
Kim Hyeong Jin,South Korea,50,LW,Gangwon FC
Y. Meitei,India,48,CDM,Kerala Blasters FC
Nelsildo Reis,Brazil,76,GK,Cruzeiro
Park Jeong Hoon,South Korea,52,LW,FC Anyang
J. Velasquez,Bolivia,53,RW,Bolívar
B. Samba,France,80,GK,Stade Rennais FC
M. Abdullah,Saudi Arabia,54,ST,Al Shabab
T. King,England,52,ST,Cheltenham Town
Kwon Tae Young,South Korea,52,RW,Daegu FC
Lim Seung Kyum,South Korea,58,CB,FC Anyang
F. Al Ghamdi,Saudi Arabia,50,CM,Al Ettifaq
Aarón,Spain,75,GK,Real Oviedo
P. Gulácsi,Hungary,85,GK,RB Leipzig
Hwang Seo Ung,South Korea,52,CAM,Pohang Steelers
D. Husser,Germany,56,ST,Hannover 96
Khaly,Angola,59,CB,Casa Pia
A. Hansen,Denmark,71,GK,FC Nordsjælland
D. Neicu,Romania,56,CB,Oțelul Galați
M. Nichola,Australia,53,CB,Adelaide United
Baek In Woo,South Korea,48,CAM,Ulsan HD FC
N. Hernández Pinilla,Colombia,52,CB,Atlético Bucaramanga
M. Neuner,Austria,56,CB,WSG Tirol
Juan Carlos,Spain,73,GK,Girona FC
C. Olson,England,57,CB,Oldham Athletic
S. Bhat,India,53,ST,Mohun Bagan Super Giant
T. Williams,United States,53,CB,Orlando City SC
M. Campaña,Uruguay,74,GK,Peñarol
M. Veillon,France,59,CB,FC Annecy
E. Lalrindika,India,51,ST,East Bengal FC
B. Çetin,Turkey,57,CB,Samsunspor
S. Sarver,United States,52,ST,FC Dallas
L. Flower,England,54,ST,Crawley Town
A. van der Spa,Norway,56,CB,Sandefjord Fotball
E. Gassama,Mali,57,CB,En Avant Guingamp
K. Wilson,Scotland,52,ST,Exeter City
S. Kimura,Japan,59,CB,KVC Westerlo
A. Lebib,Australia,57,CB,Perth Glory
M. Sanan,India,51,LM,Jamshedpur FC
Fellipe Jack,Italy,62,CB,Spezia
D. Mitov,Bulgaria,70,GK,Aberdeen
Heo Dong Min,South Korea,49,CDM,FC Seoul
A. Gurd,Australia,58,CB,Sydney FC
M. Sels,Belgium,83,GK,Nottingham Forest
C. McCarthy,Republic of Ireland,55,CB,Hull City
L. Giandomenico,Switzerland,54,LB,Grasshopper Club Zürich
W. Frederick,Trinidad and Tobago,51,CAM,Colorado Rapids
F. Delap,England,57,CB,Burton Albion
Chen Yuhao,China,52,RB,Yunnan Yukun
Talisca,Brazil,57,CB,Alverca
W. Hahn,Suriname,72,GK,Hammarby Fotboll
Kepa,Spain,79,GK,Arsenal
T. Campaniello,Italy,56,ST,Empoli
J. Paredes,Paraguay,57,CB,Sportivo Luqueño
D. Baran,Poland,53,RW,FC Dallas
L. Mejía,Panama,72,GK,Club Nacional de Football
G. Tunguliadi,Russia,59,CB,Estrela da Amadora
J. van Schooneveld,Netherlands,57,CB,Telstar
H. Ibbitson,England,53,ST,Bradford City
D. Ellison,England,53,CB,Bristol Rovers
M. Mendía,Argentina,58,CB,Boca Juniors
Tang Chuang,China,54,ST,Chengdu Rongcheng
L. Grace,Republic of Ireland,63,CB,Shamrock Rovers
Kang Hyeon Jong,South Korea,47,ST,Jeonbuk Hyundai Motors
David Soria,Spain,81,GK,Getafe CF
H. Lloris,France,77,GK,Los Angeles FC
B. O'Neil,Australia,52,LB,Adelaide United
M. Dituro,Argentina,75,GK,Elche CF
A. Gergely,Romania,53,ST,Csíkszereda Miercurea Ciuc
E. Mokwana,South Africa,51,RW,Al Hazem FC
H. Ralte,India,54,RB,Mumbai City FC
M. Ratnik,Slovenia,59,CB,Al Ain
E. van der Laan,Sweden,57,CB,FC Groningen
N. Landa,Bolivia,60,CB,Gualberto Villarroel SJ
G. Cooper,England,58,CB,Drogheda United
M. Dúbravka,Slovakia,77,GK,Burnley
N. Canavan,Republic of Ireland,63,CB,Barrow
K. Al Asbahi,Yemen,53,LM,Al Riyadh
Lucas Mantela,Brazil,82,GK,Palmeiras
L. Vraa,Denmark,60,CB,Grazer AK 1902
T. Siwe,France,60,CB,AJ Auxerre
Q. MacNicol,Australia,54,CAM,Brisbane Roar
A. Madsen,Denmark,58,CB,Silkeborg IF
Lucas Perri,Brazil,81,GK,Leeds United
C. Vegas,Venezuela,57,RW,Caracas FC
M. Rivero,Uruguay,61,CB,Boston River
Zhang Chenliang,China,56,RB,Yunnan Yukun
S. Imigene,Mauritania,53,CB,CD Leganés
D. Léon,France,76,GK,AJ Auxerre
David Kaiki,Brazil,53,RW,Damac FC
L. Montenegro,Bolivia,59,CB,Nacional Potosí
D. Borso,United States,48,CAM,Chicago Fire
C. Souanga,Belgium,55,LB,Oud-Heverlee Leuven
Kim Min Young,South Korea,53,ST,Daegu FC
M. Zetterer,Germany,76,GK,Eintracht Frankfurt
Liu Baiyang,China,52,RW,Qingdao West Coast FC
Jimmy Farkarlun,Liberia,50,CAM,Austin FC
Z. Lisolajski,Australia,56,LB,Perth Glory
CJ Fodrey,United States,52,ST,Austin FC
L. Henderson,Scotland,60,CB,Falkirk
M. Tombakti,Saudi Arabia,58,CB,Al Riyadh
K. Casteels,Belgium,82,GK,Al Qadsiah FC
C. May,Switzerland,59,CB,FC St.Gallen 1879
R. Bucur,Romania,52,ST,Asociația Clubul Sportiv Petrolul 52
D. Neicu,Romania,54,ST,Oțelul Galați
J. Cillessen,Netherlands,79,GK,NEC Nijmegen
Edu Coniac,Spain,54,CB,CD Mirandés
B. Hazazi,Saudi Arabia,47,CM,Al Nassr
W. Meyer,United States,53,CB,Nashville SC
T. Citherlet,Switzerland,57,CB,FC Winterthur
S. Camara,Switzerland,56,CB,FC Winterthur
J. Ćalušić,Croatia,60,CB,Konyaspor
Gabriel Carvalho,Brazil,54,RW,Al Qadsiah FC
Cui Qi,China,52,CB,Dalian Yingbo
P. Carlgren,Sweden,71,GK,FC Nantes
Wang Dalei,China,69,GK,Shandong Taishan
Yi Xianlong,China,51,LM,Meizhou Hakka
Zhao Xuebin,China,51,ST,Dalian Yingbo
S. Singh,India,51,LB,FC Goa
Min Ji Hoon,South Korea,47,CM,FC Seoul
P. Quinton,United States,61,CB,Real Salt Lake
Yan Yihan,China,47,CAM,Dalian Yingbo
He Yiran,China,53,LB,Changchun Yatai
Z. Steffen,United States,73,GK,Colorado Rapids
N. Pope,England,81,GK,Newcastle United
M. Schmetgens,Germany,56,CB,SV Werder Bremen
Z. Gozo,United States,55,RW,Real Salt Lake
Raphael Merkies,Hong Kong,50,LW,Shandong Taishan
J. Hall,United States,54,LM,New York Red Bulls
D. Lalhlimpuia,India,52,ST,Jamshedpur FC
A. McCormick,England,53,CB,Swindon Town
S. Ketkar,India,49,CDM,Bengaluru FC
D. Ramaj,Germany,73,GK,1. FC Heidenheim 1846
D. Xhemalija,Switzerland,48,CDM,FC Luzern
M. Gómez,Uruguay,63,CB,Boston River
I. Fakili,France,57,LM,Clermont Foot 63
G. Samuel,Ivory Coast,49,RW,FC Seoul
M. Al Khaibari,Saudi Arabia,55,CB,Al Riyadh
I. Ndukwe,Austria,55,CB,FK Austria Wien
K. Frisorger,Germany,59,CB,1. FC Schweinfurt 05
Cantero,Spain,70,GK,Burgos CF
J. Tijink,Netherlands,57,CB,Heracles Almelo
P. Creti,Italy,52,RB,Grasshopper Club Zürich
M. Barnawi,Saudi Arabia,55,CB,Al Ittihad
R. Roberts,United States,55,CB,San Jose Earthquakes
Samuel Soares,Portugal,70,GK,SL Benfica
D. Roef,Belgium,76,GK,KAA Gent
Kim Do Yun,South Korea,54,RM,Suwon FC
S. Moyano,Argentina,71,GK,CA Aldosivi
G. Pelzer,Germany,57,CB,TSG 1899 Hoffenheim II
B. Al Hamad,Syria,51,LW,Al Taawoun FC
M. Ladefoged,Denmark,56,CB,Fredericia
A. Lalruotsang,India,48,RW,NorthEast United
B. Ersoy,Turkey,51,CB,Fatih Karagümrük
D. Lalhlansanga Hmar,India,52,ST,East Bengal FC
L. D'Cunha,India,52,RB,Hyderabad FC
Han Jiawen,China,51,LM,Shanghai Shenhua
Aitor Fernández,Spain,77,GK,CA Osasuna
Wang Yaopeng,China,54,CB,Changchun Yatai
S. Lotjem,India,50,ST,Mumbai City FC
M. Schuhen,Germany,72,GK,SV Darmstadt 98
M. Mohand Mohamedi,Morocco,74,GK,
E. Yıldırım,Turkey,56,CB,Göztepe SK
K. Al Rammah,Saudi Arabia,53,LB,Al Fayha
A. Harris,United States,53,ST,Colorado Rapids
B. De Jaegere,Belgium,53,LB,SV Zulte Waregem
Z. Yáñez,United States,51,ST,New York City FC
B. Oram,India,49,RB,NorthEast United
J. Becker,Germany,55,ST,SV Wehen Wiesbaden
Xuan Zhijian,China,54,LB,Changchun Yatai
Kim Dong Min,South Korea,47,CDM,Pohang Steelers
A. Dragoș,Romania,52,ST,UTA Arad
L. Moulden,England,63,GK,Norwich City
S. Hawkins,United States,55,CB,Seattle Sounders FC
E. Schilte-Brown,Canada,57,CB,Kilmarnock
L. Lalvenkima,India,51,RW,FC Goa
J. Burrai,Ecuador,72,GK,Talleres
P. Vindahl,Denmark,75,GK,Sparta Praha
J. Etse,Germany,58,CB,SSV Ulm 1846
S. Al Anzi,Saudi Arabia,53,LB,Al Shabab
A. Lacey,England,57,CB,Bohemian FC
U. Yusup,China,54,CB,Shanghai Port
P. Antoniou,Australia,50,RB,Melbourne City FC
M. Dubosson,Switzerland,59,CB,FC Sion
L. Stefanović,Canada,57,CB,Toronto FC
O. Rye,Norway,53,LB,Hamarkameratene
K. Keresztes,Hungary,57,CB,Dundee United FC
J. Orozco,United States,53,CB,St. Louis CITY SC
A. Cichero,Venezuela,56,ST,Frosinone
S. Kara,Turkey,54,LB,VfB Stuttgart II
J. Bartolo,Gibraltar,52,ST,Wycombe Wanderers
J. Solberg,Norway,55,CB,Fredrikstad FK
Adrián Ortolá,Spain,70,GK,En Avant Guingamp
N. Darjee,India,50,LB,Punjab FC
J. Wildsmith,England,69,GK,West Bromwich Albion
H. Al Sultan,Saudi Arabia,53,ST,Al Khaleej
Z. Dunne,Republic of Ireland,50,LM,Cork City
S. Bailey,Wales,51,CB,Cork City
R. Mansfield,Republic of Ireland,55,CB,Waterford FC
F. Cavagna,Peru,60,CB,Atlético Grau
A. Şahindere,Turkey,55,CB,Gençlerbirliği SK
P. Gaonkar,India,48,CM,FC Goa
M. Cooper,England,76,GK,Sheffield United
S. Barnawi,Saudi Arabia,51,CB,Al Hilal
F. Milojević,Austria,55,CB,SC Rheindorf Altach
Jin Jun Seo,South Korea,52,ST,Gangwon FC
M. Ajsal,India,49,ST,Kerala Blasters FC
M. Palma,Germany,62,CB,Udinese
S. Crnovrsanin,Switzerland,58,CB,SSV Ulm 1846
S. Bain,Scotland,66,GK,Falkirk
D. Kotarski,Croatia,77,GK,FC København
M. Hermansen,Denmark,76,GK,West Ham United
E. Çakır,Turkey,50,CM,Gaziantep FK
A. Meret,Italy,82,GK,Napoli
D. von Ballmoos,Switzerland,70,GK,FC Lugano
M. Litherland,England,54,CB,Blackburn Rovers
Y. Benkhaleq,Morocco,57,CB,Al Ain
C. Pym,Northern Ireland,63,GK,Grimsby Town
Jin Shunkai,China,55,CB,Shanghai Shenhua
Đ. Petrović,Serbia,80,GK,AFC Bournemouth
F. Kasumovic,Australia,54,CB,Adelaide United
A. Batalla,Argentina,79,GK,Rayo Vallecano
S. Britschgi,Switzerland,52,RB,Parma
J. Inserra,Australia,55,RB,Melbourne Victory
R. Postelnicu,Romania,51,RW,Oțelul Galați
Song Haoyu,China,52,RB,Qingdao West Coast FC
H. Skretteberg,Norway,55,CB,Sandefjord Fotball
S. Singh,India,51,ST,Bengaluru FC
Y. Bounou,Morocco,82,GK,Al Hilal
J. Alnwick,England,69,GK,Cardiff City
Dani Jiménez,Spain,72,GK,SD Huesca
Á. Montero,Colombia,75,GK,Vélez Sarsfield
A. Al Mutairi,Saudi Arabia,53,CB,Al Shabab
T. Gruber,Austria,57,CB,Wolfsberger AC
H. Nevin,Republic of Ireland,54,RB,Cork City
M. Murray,Republic of Ireland,53,LM,Cork City
Y. Mvogo,Switzerland,76,GK,FC Lorient
E. Ojukwu,Austria,54,CB,TSV Hartberg
R. Pandre,India,51,ST,Punjab FC
Lee Heon Jae,South Korea,49,RW,Pohang Steelers
A. Lietsa,Finland,54,CB,HJK Helsinki
A. Kuzhiyil,India,50,ST,East Bengal FC
S. Keane,Republic of Ireland,53,CB,Waterford FC
De Gea,Spain,85,GK,Fiorentina
K. Frees,Germany,60,CB,TSG 1899 Hoffenheim
M. Mewlan,China,52,ST,Qingdao Hainiu FC
P. Laldinpuia,India,56,CB,Chennaiyin FC
L. Acosta,Argentina,71,GK,Club Atlético Sarmiento
C. Barrett,Republic of Ireland,52,CB,Shamrock Rovers
M. Frejd Pålsson,Sweden,56,CB,Malmö FF
J. Placias,United States,51,ST,KVC Westerlo
S. Todd,Republic of Ireland,59,CB,Derry City
R. Pasveer,Netherlands,75,GK,Ajax
J. Mangat,India,53,LM,United Tigers SC
A. Padmanabhan,India,51,ST,NorthEast United
A. Khatir,Morocco,53,CB,Al Riyadh
M. Bizot,Netherlands,78,GK,Aston Villa
Zhao Jia'nan,China,49,LB,Dalian Yingbo
J. Afriyie,Ghana,49,LW,RAAL La Louvière
